Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"similar to Potassium voltage-gated channel subfamily G member 1 (Voltage-gated potassium channel subunit Kv6.1) (kH2)","LOC241794","2","241794","XM_141545","","",""
"similar to Polyadenylate-binding protein 4 (Poly(A)-binding protein 4) (PABP 4) (Inducible poly(A)-binding protein) (iPABP) (Activated-platelet protein-1) (APP-1)","LOC241989","3","241989","XM_143201","","",""
"gene model 442, (NCBI)","LOC242827","5","242827","XM_144174","","",""
"similar to hypothetical protein MGC19022","LOC242879","5","242879","XM_144221","","",""
"gene model 51, (NCBI)","LOC243359","5","243359","XM_112323","","",""
"similar to Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5 (Solute carrier family 6 member 16)","LOC243965","7","243965","XM_145587","","",""
"similar to 3300001A09Rik protein","LOC244911","9","244911","XM_146937","","",""
"similar to Chromosome 6 open reading frame 117","LOC244958","9","244958","XM_147017","","",""
"gene model 520, (NCBI)","LOC245027","9","245027","XM_147082","","",""
"similar to TAK1-binding protein 3 isoform 1; NFkB activating protein 1","LOC245498","X","245498","XM_111986","","",""
"similar to P38IP protein","LOC245516","X","245516","XM_141952","","",""
"similar to chromosome 9 open reading frame 138; 4930500O09Rik","LOC245693","X","245693","XM_142303","","",""
"gene model 154, (NCBI)","LOC245882","6","245882","XM_132795","","",""
"hypothetical LOC268906","LOC268906","16","268906","XM_196164","","",""
"similar to axonemal dynein heavy chain 8 Dnahc8","LOC268939","17","268939","XM_110186","","",""
"gene model 1855, (NCBI)","LOC269374","2","269374","XM_194043","","",""
"gene model 683, (NCBI)","LOC269911","7","269911","XM_196415","","",""
"similar to E2a-Pbx1-associated protein; amyloid-beta precursor protein intracellular domain associated protein 1; cajalin 2","LOC270764","10","270764","XM_194744","","",""
"similar to RIKEN cDNA 1110067D22","LOC272350","7","272350","XM_195619","","",""
"similar to dJ366N23.3 (NYD-TSPG protein)","LOC272661","17","272661","XM_195428","","",""
"gene model 655, (NCBI)","LOC272680","7","272680","XM_195367","","",""
"similar to RRS1 ribosome biogenesis regulator homolog; regulator for ribosome resistance homolog (S. cerevisiae)","LOC272714","5","272714","XM_195278","","",""
"similar to FLJ44670 protein","LOC277385","2","277385","XM_205866","","",""
"hypothetical LOC277506","LOC277506","2","277506","Mm.318759","","",""
"similar to GLE1-like, RNA export mediator; GLE1 (yeast homolog)-like, RNA export mediator; hGLE1","LOC277795","4","277795","XM_205514","","",""
"gene model 1861, (NCBI)","LOC277860","X","277860","XM_203275","","",""
"similar to reverse transcriptase","LOC277923","4","277923","NM_001005856","","","G00016"
"gene model 702, (NCBI)","LOC278668","14","278668","XM_204836","","",""
"similar to hypothetical protein 6720451E15","LOC278757","17","278757","XM_204906","","",""
"similar to Gm111 protein","LOC279056","2","279056","XM_205091","","",""
"hypothetical protein LOC280640","LOC280640","13","280640","NM_001014882","","",""
"similar to hypothetical protein MGC42415","LOC327963","11","327963","XM_282967","","",""
"gene model 801, (NCBI)","LOC328014","11","328014","XM_286385","","",""
"similar to regulator of sex-limitation candidate 24","LOC328280","13","328280","XM_283144","","",""
"hypothetical LOC328316","LOC328316","13","328316","XM_286567","","",""
"hypothetical LOC328369","LOC328369","14","328369","XM_286584","","",""
"gene model 748, (NCBI)","LOC328602","15","328602","XM_283318","","",""
"hypothetical gene supported by AK045595","LOC328644","16","328644","NM_198629","","",""
"similar to Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide (Phosphoinositide 3-Kinase-C2-beta) (PtdIns-3-kinase C2 beta) (PI3K-C2beta) (C2-PI3K)","LOC329248","1","329248","XM_283638","","",""
"gene model 819, (NCBI)","LOC329257","1","329257","XM_287042","","",""
"similar to CDC42-binding protein kinase alpha; mytonic dystrophy kinase-related Cdc42-binding kinase","LOC329302","19","329302","XM_283676","","",""
"gene model 824, (NCBI)","LOC329414","2","329414","XM_287124","","",""
"hypothetical LOC329428","LOC329428","2","329428","XM_287127","","",""
"hypothetical gene supported by AK076825","LOC330097","5","330097","NM_207257","","",""
"hypothetical protein LOC330599","LOC330599","7","330599","NM_177896","","",""
"hypothetical gene supported by AK085556","LOC330776","8","330776","NM_207259","","",""
"similar to phospholipid scramblase 1","LOC331000","9","331000","XM_287936","","",""
"similar to Nucleolar phosphoprotein p130 (Nucleolar 130 kDa protein) (140 kDa nucleolar phosphoprotein) (Nopp140) (Nucleolar and coiled-body phosphoprotein 1)","LOC331392","X","331392","NM_198633","","",""
"hypothetical LOC331480","LOC331480","X","331480","XM_284726","","",""
"gene model 777, (NCBI)","LOC331595","10","331595","XM_284853","","",""
"gene model 850, (NCBI)","LOC332300","18","332300","XM_288828","","",""
"similar to transmembrane protein 29; PRO0659 protein","LOC333588","X","333588","XM_285556","","",""
"hypothetical gene supported by AK041995","LOC333669","10","333669","NM_198635","","",""
"gene model 865, (NCBI)","LOC333872","17","333872","XM_290002","","",""
"hypothetical LOC380685","LOC380685","11","380685","XM_358403","","",""
"hypothetical LOC380720","LOC380720","11","380720","XM_358409","","",""
"gene model 1566, (NCBI)","LOC380738","11","380738","XM_358415","","",""
"gene model 890, (NCBI)","LOC380764","12","380764","XM_354676","","",""
"gene model 896, (NCBI)","LOC380784","12","380784","XM_354695","","",""
"gene model 907, (NCBI)","LOC380889","14","380889","XM_354799","","",""
"hypothetical LOC380894","LOC380894","14","380894","XM_358456","","",""
"similar to Tudor domain containing protein 4","LOC380905","14","380905","XM_354818","","",""
"similar to RIKEN cDNA 1700129C05","LOC380907","14","380907","NM_001004158","","",""
"similar to T-cell receptor alpha chain V region CTL-F3 precursor","LOC380945","14","380945","XM_354852","","",""
"gene model 929, (NCBI)","LOC381034","16","381034","XM_354943","","",""
"similar to Zinc finger protein 213 (Putative transcription factor CR53)","LOC381070","17","381070","XM_354990","","",""
"gene model 937, (NCBI)","LOC381076","17","381076","XM_354997","","",""
"gene model 1610, (NCBI)","LOC381118","17","381118","XM_358509","","",""
"similar to hypothetical protein FLJ40243","LOC381279","1","381279","XM_355221","","",""
"hypothetical LOC381355","LOC381355","2","381355","XM_355321","","",""
"hypothetical LOC381357","LOC381357","2","381357","XM_358557","","",""
"similar to Spectrin alpha chain, brain (Spectrin, non-erythroid alpha chain) (Alpha-II spectrin) (Fodrin alpha chain)","LOC381358","2","381358","XM_355324","","",""
"gene model 1635, (NCBI)","LOC381394","2","381394","XM_358563","","",""
"similar to MYH7B protein","LOC381400","2","381400","XM_355358","","",""
"similar to Polyadenylate-binding protein 4 (Poly(A)-binding protein 4) (PABP 4) (Inducible poly(A)-binding protein) (iPABP) (Activated-platelet protein-1) (APP-1)","LOC381404","2","381404","XM_355363","","",""
"hypothetical LOC381412","LOC381412","2","381412","XM_358568","","",""
"hypothetical LOC381483","LOC381483","3","381483","XM_358596","","",""
"similar to RIKEN cDNA E130308A19","LOC381529","4","381529","XM_355490","","",""
"similar to CUB and Sushi multiple domains 2","LOC381556","4","381556","XM_355522","","",""
"similar to CUB and Sushi multiple domains 1","LOC381557","4","381557","XM_355523","","",""
"similar to RIKEN cDNA 1700029I01","LOC381575","4","381575","XM_355536","","",""
"hypothetical LOC381582","LOC381582","4","381582","XM_358624","","",""
"similar to spermatogenic cell-specific gene 2","LOC381597","4","381597","XM_355555","","",""
"hypothetical LOC381739","LOC381739","5","381739","XM_358649","","",""
"similar to CAGL79","LOC381742","5","381742","XM_355727","","",""
"hypothetical LOC381754","LOC381754","6","381754","XM_355749","","",""
"similar to T cell antigen receptor","LOC381765","6","381765","XM_355761","","",""
"similar to electrogenic sodium bicarbonate cotransporter NBC4c","LOC381788","6","381788","XM_355788","","",""
"similar to NKR-P1F","LOC381815","6","381815","XM_355818","","",""
"hypothetical LOC381854","LOC381854","7","381854","XM_358662","","",""
"gene model 1690, (NCBI)","LOC381856","7","381856","XM_358663","","",""
"hypothetical LOC381872","LOC381872","7","381872","XM_358666","","",""
"hypothetical LOC381876","LOC381876","7","381876","XM_358667","","",""
"similar to RNI-like protein","LOC381907","7","381907","XM_355925","","",""
"similar to PYRIN-containing APAF1-like protein 7; leucine-rich-repeat protein; PYRIN-containing APAF1-like protein 7 mRNA; monarch 1; NACHT, LRR and PYD containing protein 12","LOC381948","7","381948","XM_355972","","",""
"similar to Catechol O-methyltransferase, membrane-bound form (MB-COMT)","LOC381980","7","381980","XM_356022","","",""
"hypothetical gene supported by BC030430","LOC382098","9","382098","XM_358706","","",""
"gene model 1125, (NCBI)","LOC382102","9","382102","XM_356183","","",""
"similar to hypothetical protein E330023O18","LOC382109","9","382109","NM_198674","","",""
"similar to RIKEN cDNA 1700029H17","LOC382133","Y","382133","NM_207162","","",""
"similar to tripartite motif-containing 43","LOC382174","Un","382174","XM_356275","","",""
"similar to Cadherin-11 precursor (Osteoblast-cadherin) (OB-cadherin) (OSF-4)","LOC382175","Un","382175","XM_356277","","",""
"similar to Hypothetical protein MGC18736","LOC382193","Un","382193","XM_356300","","",""
"similar to 3110007F17Rik protein","LOC382265","X","382265","XM_356374","","",""
"similar to homeobox protein EHOX","LOC382271","X","382271","XM_356386","","",""
"similar to 60S ribosomal protein L29 (P23)","LOC382371","10","382371","XM_356468","","",""
"similar to RP58 protein","LOC382639","12","382639","XM_356600","","",""
"gene model 1199, (NCBI)","LOC382821","13","382821","XM_356698","","",""
"gene model 1914, (NCBI)","LOC382902","14","382902","XM_356743","","",""
"similar to otoferlin isoform a","LOC383041","15","383041","XM_356816","","",""
"similar to RIKEN cDNA 1810036I24","LOC383103","16","383103","XM_356877","","",""
"similar to ZFP421","LOC383232","17","383232","XM_487475","","",""
"similar to docking protein 5-like","LOC383319","18","383319","XM_356981","","",""
"similar to protease","LOC383368","18","383368","XM_357012","","",""
"similar to ribosomal protein L6","LOC383462","19","383462","XM_357078","","",""
"similar to developmental pluripotency associated 5; embryonal stem cell specific gene 1","LOC383490","1","383490","XM_357090","","",""
"similar to hypothetical protein 4930509O22","LOC383507","1","383507","XM_487594","","",""
"similar to Eukaryotic translation initiation factor 1 (eIF1) (Protein translation factor SUI1 homolog)","LOC383613","1","383613","XM_357154","","",""
"similar to odorant-binding protein","LOC383678","2","383678","XM_357181","","",""
"gene model 1320, (NCBI)","LOC383682","2","383682","XM_357185","","",""
"similar to glyceraldehyde-3-phosphate dehydrogenase","LOC383692","2","383692","XM_487646","","",""
"similar to Brain protein 44-like protein (HSPC040) (CGI-129) (PNAS-115)","LOC383700","2","383700","XM_357195","","",""
"hypothetical LOC383820","LOC383820","3","383820","XM_485201","","",""
"similar to Rho GTPase activating protein 20","LOC383848","3","383848","XM_357291","","",""
"similar to alpha-2u-globulin V precursor - mouse","LOC384021","4","384021","XM_357374","","",""
"similar to GTPase","LOC384106","4","384106","XM_357431","","",""
"similar to ribosomal protein","LOC384276","5","384276","XM_357535","","",""
"gene model 1399, (NCBI)","LOC384349","6","384349","XM_357594","","",""
"similar to OBOX4","LOC384546","7","384546","XM_357703","","",""
"similar to carcinoembryonic antigen-related protein","LOC384557","7","384557","XM_357710","","",""
"similar to X-linked inhibitor of apoptosis","LOC384610","7","384610","XM_488024","","",""
"similar to Alpha enolase (2-phospho-D-glycerate hydro-lyase) (Non-neural enolase) (NNE) (Enolase 1)","LOC384644","7","384644","XM_488049","","",""
"gene model 1441, (NCBI)","LOC384670","7","384670","XM_357782","","",""
"similar to RIKEN cDNA 1700108L22","LOC384865","8","384865","XM_357905","","",""
"similar to high mobility group protein","LOC384962","9","384962","XM_488185","","",""
"similar to Ac1147","LOC385068","17","385068","XM_358030","","",""
"similar to Chain A, Interactions Causing The Kinetic Trap In Serpin Protein Folding","LOC385069","12","385069","XM_358031","","",""
"similar to protease","LOC385308","X","385308","XM_358181","","",""
"similar to 60S ribosomal protein L12","LOC385403","X","385403","XM_358227","","",""
"similar to polypirimidine tract binding protein","LOC385446","X","385446","XM_488390","","",""
"similar to P38IP protein","LOC385492","X","385492","XM_358251","","",""
"similar to putative membrane-bound dipeptidase 2","LOC385499","X","385499","XM_358254","","",""
"similar to Msid2","LOC385649","16","385649","XM_358844","","",""
"similar to TWIST neighbor","LOC385660","16","385660","mCT129062.1","","",""
"similar to Hypothetical protein MGC63733","LOC386468","19","386468","XM_359301","","",""
"similar to RIKEN cDNA 1500001A10","LOC386478","5","386478","XM_359316","","",""
"similar to hypothetical protein FLJ31413","LOC386484","6","386484","TC1459616","","",""
"similar to hypothetical protein FLJ31413","LOC386484","6","386484","XM_359323","","",""
"similar to FLJ20859 protein; false p73 target","LOC386486","14","386486","XM_359329","","",""
"similar to TCRBV13S1","LOC386546","6","386546","XM_359390","","",""
"hypothetical gene supported by NM_023431","LOC432405","10","432405","XM_488511","","",""
"hypothetical gene supported by NM_176954","LOC432406","10","432406","XM_488532","","",""
"hypothetical gene supported by NM_175689","LOC432407","10","432407","XM_488531","","",""
"hypothetical gene supported by BC012229; NM_026825","LOC432408","13","432408","XM_488514","","",""
"hypothetical gene supported by NM_177807","LOC432409","13","432409","XM_488536","","",""
"hypothetical gene supported by NM_025971","LOC432413","17","432413","XM_488513","","",""
"hypothetical gene supported by NM_177332","LOC432415","17","432415","XM_488535","","",""
"hypothetical gene supported by NM_175117","LOC432416","18","432416","XM_488527","","",""
"hypothetical gene supported by NM_177868","LOC432419","4","432419","XM_488537","","",""
"hypothetical gene supported by NM_175182","LOC432422","6","432422","XM_488528","","",""
"similar to nesprin 1 isoform longer; synaptic nuclei expressed gene 1; nesprin 1; enaptin","LOC432424","10","432424","XM_483865","","",""
"similar to nesprin 1 isoform beta; synaptic nuclei expressed gene 1; nesprin 1; enaptin","LOC432425","10","432425","XM_483866","","",""
"similar to nesprin-1","LOC432426","10","432426","XM_483867","","",""
"hypothetical gene supported by AK039367","LOC432429","10","432429","XM_488543","","",""
"hypothetical gene supported by AK090213","LOC432436","10","432436","NM_001004162","","",""
"LOC432443","LOC432443","10","432443","XM_488547","","",""
"hypothetical gene supported by AK080199","LOC432444","10","432444","XM_488548","","",""
"hypothetical gene supported by AK038984","LOC432449","10","432449","XM_488550","","",""
"similar to triadin 95","LOC432451","10","432451","XM_483890","","",""
"similar to hypothetical protein FLJ25791","LOC432456","10","432456","XM_483894","","",""
"hypothetical gene supported by AK036574","LOC432457","10","432457","XM_488554","","",""
"hypothetical gene supported by AK082906","LOC432459","10","432459","XM_483897","","",""
"similar to hypothetical protein FLJ30899","LOC432463","10","432463","XM_483901","","",""
"hypothetical gene supported by AK080816","LOC432471","10","432471","XM_483918","","",""
"similar to RIKEN cDNA 2610020C11","LOC432476","10","432476","XM_483924","","",""
"hypothetical gene supported by AK089213","LOC432483","10","432483","XM_488567","","",""
"hypothetical gene supported by AK041693","LOC432487","10","432487","XM_488570","","",""
"LOC432488","LOC432488","10","432488","XM_488571","","",""
"hypothetical gene supported by AK076335","LOC432494","10","432494","XM_488573","","",""
"hypothetical gene supported by AK043688","LOC432500","10","432500","XM_488576","","",""
"LOC432503","LOC432503","10","432503","XM_488577","","",""
"LOC432506","LOC432506","10","432506","XM_488578","","",""
"LOC432517","LOC432517","10","432517","XM_488583","","",""
"similar to tensin-like SH2 domain containing 1; tumor endothelial marker 6; thyroid specific PTB domain protein; tensin 3; tensin-like SH2 domain-containing 1; H_NH0549I23.2","LOC432531","11","432531","XM_483981","","",""
"similar to Protein phosphatase 2, regulatory subunit B (B56), alpha isoform","LOC432545","11","432545","Mm.373649","","",""
"similar to Protein phosphatase 2, regulatory subunit B (B56), alpha isoform","LOC432545","11","432545","XM_484002","","",""
"similar to T-cell specific GTPase","LOC432555","11","432555","XM_484012","","",""
"hypothetical gene supported by AK006305","LOC432560","11","432560","XM_484020","","",""
"hypothetical gene supported by AK087691","LOC432562","11","432562","XM_488594","","",""
"LOC432566","LOC432566","11","432566","XM_488595","","",""
"hypothetical gene supported by BC049785","LOC432567","11","432567","XM_488596","","",""
"similar to RIKEN cDNA F730038I15 gene","LOC432574","11","432574","XM_484039","","",""
"hypothetical gene supported by AK085773","LOC432575","11","432575","XM_488601","","",""
"similar to hypothetical protein LOC339168","LOC432576","11","432576","XM_484042","","",""
"similar to Thyroid hormone receptor-associated protein complex 240 kDa component (Trap240) (Activator-recruited cofactor 250 kDa component) (ARC250) (Thyroid hormone receptor associated protein 1)","LOC432586","11","432586","XM_484059","","",""
"LOC432588","LOC432588","11","432588","XM_488606","","",""
"hypothetical gene supported by AK082500","LOC432589","11","432589","NM_001007584","","",""
"similar to hypothetical protein A430060F13","LOC432590","11","432590","XM_484065","","",""
"hypothetical gene supported by AK078606","LOC432593","11","432593","XM_488608","","",""
"similar to Als2 protein","LOC432596","11","432596","XM_484071","","",""
"similar to keratin associated protein 9-1; keratin-associated protein 9.1; keratin-associated protein 9-1","LOC432600","11","432600","XM_484079","","",""
"similar to RIKEN cDNA 4733401H21","LOC432602","11","432602","XM_484081","","",""
"LOC432605","LOC432605","11","432605","XM_488612","","",""
"LOC432609","LOC432609","11","432609","XM_488615","","",""
"hypothetical gene supported by AK041521","LOC432610","11","432610","XM_488616","","",""
"similar to Flj37300-A-prov protein","LOC432612","11","432612","XM_484091","","",""
"hypothetical gene supported by AK044818","LOC432614","11","432614","XM_488617","","",""
"hypothetical gene supported by AK047653","LOC432615","11","432615","NM_001004166","","",""
"similar to dynein, axonemal, heavy polypeptide 9 isoform 2; dynein, axonemal, light intermediate chain 1; dynein, axonemal, heavy polypeptide 17-like; ciliary dynein heavy chain","LOC432617","11","432617","XM_484099","","",""
"hypothetical gene supported by AK081626","LOC432619","11","432619","XM_488619","","",""
"hypothetical gene supported by AK076489","LOC432625","12","432625","XM_488621","","",""
"LOC432627","LOC432627","12","432627","XM_488622","","",""
"similar to neuroblastoma-amplified protein","LOC432635","12","432635","XM_484120","","",""
"hypothetical gene supported by AK045700","LOC432636","12","432636","XM_488626","","",""
"similar to RIKEN cDNA 6030426L16","LOC432637","12","432637","NM_001004167","","",""
"hypothetical gene supported by AK031661","LOC432641","12","432641","XM_488629","","",""
"hypothetical gene supported by AK080739","LOC432644","12","432644","XM_488632","","",""
"similar to hypothetical protein FLJ23834","LOC432647","12","432647","XM_484132","","",""
"similar to hypothetical protein FLJ23834","LOC432648","12","432648","XM_484133","","",""
"hypothetical gene supported by AK045626","LOC432657","12","432657","XM_488635","","",""
"hypothetical gene supported by AK048895","LOC432658","12","432658","XM_488636","","",""
"hypothetical gene supported by AK087847","LOC432660","12","432660","XM_488637","","",""
"similar to Na+-dependent neutral amino acid transporter","LOC432670","12","432670","XM_484155","","",""
"LOC432671","LOC432671","12","432671","XM_488641","","",""
"LOC432674","LOC432674","12","432674","XM_488644","","",""
"hypothetical gene supported by AK041689","LOC432685","12","432685","XM_488648","","",""
"hypothetical gene supported by AK053772","LOC432686","12","432686","XM_488649","","",""
"hypothetical gene supported by AK039118","LOC432689","12","432689","XM_488651","","",""
"LOC432690","LOC432690","12","432690","XM_488652","","",""
"LOC432691","LOC432691","12","432691","XM_488653","","",""
"LOC432692","LOC432692","12","432692","XM_488654","","",""
"hypothetical gene supported by AK039060","LOC432713","12","432713","XM_488657","","",""
"similar to HYPOTHETICAL PROTEIN ORF-1137","LOC432727","13","432727","XM_484218","","",""
"similar to TLS-associated protein TASR-2","LOC432730","13","432730","XM_484223","","",""
"similar to truncated pol/envelope fusion protein","LOC432738","13","432738","XM_484233","","",""
"LOC432740","LOC432740","13","432740","XM_488666","","",""
"similar to ORF7","LOC432741","13","432741","Mm.225196","","",""
"LOC432742","LOC432742","13","432742","XM_488667","","",""
"hypothetical gene supported by AK077314","LOC432743","13","432743","XM_484239","","",""
"LOC432744","LOC432744","13","432744","XM_488668","","",""
"LOC432747","LOC432747","13","432747","XM_488672","","",""
"similar to ras responsive element binding protein 1; RAS-responsive element binding protein-1; DNA-binding protein","LOC432748","13","432748","XM_484244","","",""
"similar to glyceraldehyde-3-phosphate dehydrogenase","LOC432754","13","432754","XM_484250","","",""
"similar to PC-LKC gene product","LOC432762","13","432762","XM_484261","","",""
"similar to regulator of sex-limitation candidate 18","LOC432770","13","432770","XM_484274","","",""
"similar to Zinc finger protein 71, related sequence 1","LOC432771","13","432771","XM_484279","","",""
"LOC432781","LOC432781","13","432781","XM_488687","","",""
"similar to mKIAA0686 protein","LOC432785","13","432785","XM_484293","","",""
"similar to very large G protein-coupled receptor 1","LOC432787","13","432787","XM_354762","","",""
"hypothetical gene supported by AK044039","LOC432809","13","432809","XM_488693","","",""
"similar to CG1530-PA","LOC432814","13","432814","XM_484333","","",""
"hypothetical gene supported by AK015864","LOC432826","14","432826","XM_484350","","",""
"LOC432830","LOC432830","14","432830","XM_488697","","",""
"similar to polybromo 1","LOC432835","14","432835","XM_484359","","",""
"LOC432842","LOC432842","14","432842","XM_488703","","",""
"hypothetical gene supported by AK048353","LOC432852","14","432852","XM_488707","","",""
"similar to hypothetical protein BC008134","LOC432858","14","432858","XM_484377","","",""
"LOC432867","LOC432867","14","432867","XM_488710","","",""
"hypothetical gene supported by AK052160","LOC432868","14","432868","XM_488711","","",""
"hypothetical gene supported by AK078241","LOC432871","14","432871","XM_488714","","",""
"similar to UNR protein","LOC432872","14","432872","XM_484389","","",""
"LOC432874","LOC432874","14","432874","XM_488716","","",""
"LOC432876","LOC432876","14","432876","XM_488717","","",""
"LOC432877","LOC432877","14","432877","XM_488718","","",""
"hypothetical gene supported by AK079079","LOC432885","14","432885","XM_488721","","",""
"hypothetical gene supported by AK018253","LOC432888","14","432888","XM_488722","","",""
"hypothetical gene supported by AK039417","LOC432901","14","432901","XM_488725","","",""
"similar to ribosomal protein S2","LOC432906","14","432906","XM_484421","","",""
"hypothetical gene supported by AK047219","LOC432907","14","432907","XM_484422","","",""
"similar to RIKEN cDNA 1700024B05","LOC432913","14","432913","XM_484427","","",""
"similar to KIAA1074 protein","LOC432915","14","432915","XM_484431","","",""
"similar to PAPIN","LOC432928","15","432928","XM_127956","","",""
"LOC432930","LOC432930","15","432930","XM_488735","","",""
"hypothetical gene supported by AK083927","LOC432938","15","432938","XM_488738","","",""
"similar to syndecan 2; Ryudocan/syndecan 2","LOC432942","15","432942","XM_484455","","",""
"hypothetical gene supported by AK034246","LOC432945","15","432945","XM_484459","","",""
"LOC432948","LOC432948","15","432948","XM_484462","","",""
"hypothetical gene supported by AK040104","LOC432958","15","432958","XM_488745","","",""
"hypothetical gene supported by AK033336","LOC432961","15","432961","XM_488746","","",""
"hypothetical gene supported by AK052663","LOC432967","15","432967","XM_488749","","",""
"LOC432968","LOC432968","15","432968","XM_488750","","",""
"hypothetical gene supported by AK038224","LOC432971","15","432971","XM_488752","","",""
"LOC432973","LOC432973","15","432973","XM_488754","","",""
"hypothetical gene supported by AK079717","LOC432978","15","432978","XM_488756","","",""
"similar to Myeloid/lymphoid or mixed-lineage leukemia protein 2 (ALL1-related protein)","LOC432979","15","432979","XM_484498","","",""
"hypothetical gene supported by AK082015","LOC432980","15","432980","XM_488758","","",""
"LOC432982","LOC432982","15","432982","XM_488759","","",""
"similar to breast cancer associated protein BRAP1; bridging integrator-2","LOC432983","15","432983","XM_484500","","",""
"LOC432984","LOC432984","15","432984","XM_488760","","",""
"hypothetical gene supported by AK052984","LOC432989","15","432989","XM_488762","","",""
"LOC433005","LOC433005","16","433005","XM_488769","","",""
"LOC433009","LOC433009","16","433009","XM_488772","","",""
"LOC433011","LOC433011","16","433011","XM_488774","","",""
"hypothetical gene supported by BC058850","LOC433015","16","433015","XM_488776","","",""
"similar to hypothetical protein","LOC433019","16","433019","XM_148272","","",""
"similar to hypothetical protein FLJ31579","LOC433022","16","433022","XM_484546","","","G00520"
"similar to hypothetical protein FLJ31579","LOC433022","16","433022","XM_489641","","","G00520"
"hypothetical gene supported by AK078896","LOC433023","16","433023","XM_488780","","",""
"hypothetical gene supported by AK078896","LOC433023","16","433023","XM_489685","","",""
"LOC433024","LOC433024","16","433024","XM_488781","","",""
"LOC433045","LOC433045","16","433045","XM_488788","","",""
"LOC433055","LOC433055","17","433055","XM_488791","","",""
"hypothetical gene supported by AK048221","LOC433065","17","433065","XM_488796","","",""
"hypothetical gene supported by AK004796; BC040222","LOC433071","17","433071","XM_488801","","",""
"similar to zinc finger protein 40","LOC433077","17","433077","XM_484607","","",""
"similar to Zinc finger protein 213 (Putative transcription factor CR53)","LOC433079","17","433079","mCT6430.1","","",""
"similar to Zinc finger protein 213 (Putative transcription factor CR53)","LOC433079","17","433079","XM_484609","","",""
"LOC433081","LOC433081","17","433081","XM_488804","","",""
"hypothetical gene supported by AK086736","LOC433082","17","433082","XM_488805","","",""
"LOC433088","LOC433088","17","433088","XM_488808","","",""
"hypothetical gene supported by AK031813","LOC433089","17","433089","XM_488809","","",""
"similar to RAS and EF hand domain containing; RAB45, member RAS oncogene family","LOC433092","17","433092","XM_484619","","",""
"similar to MAM domain containing glycosylphosphatidylinositol anchor 1; glycosyl-phosphatidyl-inositol-MAM","LOC433093","17","433093","XM_484621","","",""
"similar to GSGL541; surfactant associated protein G","LOC433102","17","433102","XM_484631","","",""
"LOC433107","LOC433107","17","433107","XM_488818","","",""
"LOC433109","LOC433109","17","433109","XM_488820","","",""
"LOC433110","LOC433110","17","433110","XM_488821","","",""
"hypothetical gene supported by AK089217","LOC433111","17","433111","XM_484638","","",""
"similar to mKIAA0708 protein","LOC433113","17","433113","XM_128683","","",""
"similar to p53-associated parkin-like cytoplasmic protein; UbcH7-associated protein 1","LOC433114","17","433114","XM_355018","","",""
"similar to over-expressed breast tumor protein","LOC433117","17","433117","XM_484641","","",""
"LOC433126","LOC433126","17","433126","XM_488827","","",""
"hypothetical gene supported by AK076995","LOC433134","17","433134","XM_488830","","",""
"similar to RIKEN cDNA 4921517J08 gene","LOC433138","17","433138","XM_488835","","",""
"similar to bM64F17.3 (putative novel protein)","LOC433156","18","433156","TC1444933","","",""
"hypothetical gene supported by AK043736","LOC433157","18","433157","XM_484697","","",""
"hypothetical gene supported by AK087581","LOC433163","18","433163","XM_488842","","",""
"LOC433165","LOC433165","18","433165","XM_484708","","",""
"LOC433171","LOC433171","18","433171","XM_488845","","",""
"LOC433173","LOC433173","18","433173","XM_488846","","",""
"LOC433175","LOC433175","18","433175","XM_488849","","",""
"LOC433176","LOC433176","18","433176","XM_488850","","",""
"similar to protease inhibitor H; acrosin inhibitor","LOC433180","18","433180","XM_484725","","",""
"hypothetical gene supported by AK082053","LOC433187","18","433187","XM_488853","","",""
"hypothetical gene supported by AK005868; BC048576","LOC433188","18","433188","XM_484735","","",""
"hypothetical gene supported by AK032118","LOC433191","18","433191","XM_488856","","",""
"hypothetical gene supported by AK028463","LOC433197","18","433197","XM_488857","","",""
"hypothetical gene supported by AK030301","LOC433198","18","433198","XM_488858","","",""
"hypothetical gene supported by AK036329","LOC433202","18","433202","XM_484747","","",""
"LOC433206","LOC433206","18","433206","XM_488862","","",""
"LOC433207","LOC433207","18","433207","XM_488864","","",""
"similar to RIKEN cDNA 2400001E08","LOC433216","19","433216","XM_484764","","",""
"hypothetical gene supported by AK036283","LOC433227","19","433227","XM_488869","","",""
"hypothetical gene supported by AK082257","LOC433228","19","433228","XM_488870","","",""
"similar to L-lactate dehydrogenase B chain (LDH-B) (LDH heart subunit) (LDH-H)","LOC433229","19","433229","XM_484784","","",""
"similar to TGF beta-inducible nuclear protein 1 (L-name related LNR42)","LOC433230","19","433230","XM_484785","","",""
"hypothetical gene supported by AK046642","LOC433231","19","433231","XM_488871","","",""
"hypothetical gene supported by AK028012","LOC433237","19","433237","XM_484794","","",""
"similar to MTH2 protein; MutT homolog 2","LOC433241","19","433241","XM_484799","","",""
"LOC433250","LOC433250","19","433250","XM_488876","","",""
"LOC433252","LOC433252","19","433252","XM_484812","","",""
